epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0399,2.18921,4.40786,2.09463,0.62136,0.30255,0.37347,0.16235,1.82919,3.40259,2.03053,0.00032867,0.00032867,0.00032867
2,25.8499,1.84954,2.22249,1.7142,0.56816,0.45024,0.30346,0.12249,2.53493,7.67235,3.07966,0.000660548,0.000660548,0.000660548
3,35.3107,1.8175,1.83852,1.62996,0.36125,0.43239,0.34535,0.14694,2.13215,1.98509,2.39471,0.000981109,0.000981109,0.000981109
4,44.8557,1.82572,1.656,1.66104,0.39711,0.46865,0.38547,0.18036,2.22462,2.94228,2.29176,0.00129035,0.00129035,0.00129035
5,53.7443,1.73125,1.53401,1.58399,0.49741,0.28698,0.33132,0.16016,2.06883,4.0818,2.22786,0.00133469,0.00133469,0.00133469
6,62.7101,1.7321,1.53253,1.60421,0.65626,0.35952,0.41611,0.16745,2.31398,2.72064,2.39868,0.00131111,0.00131111,0.00131111
7,71.7658,1.69354,1.42682,1.54276,0.83005,0.42806,0.5296,0.19303,2.16595,2.48453,2.31182,0.00128753,0.00128753,0.00128753
8,81.0261,1.7003,1.45726,1.58716,0.57507,0.57625,0.56695,0.24863,2.22556,1.8408,2.32774,0.00126395,0.00126395,0.00126395
9,89.5474,1.69614,1.32076,1.54271,0.54007,0.37032,0.42341,0.14768,2.25352,2.11029,2.30504,0.00124037,0.00124037,0.00124037
10,98.5989,1.68288,1.27511,1.52061,0.53137,0.57244,0.55397,0.28353,2.15741,1.695,2.27959,0.00121679,0.00121679,0.00121679
11,107.959,1.62103,1.23175,1.48992,0.68207,0.53619,0.61968,0.30691,2.07387,1.95669,2.25168,0.00119322,0.00119322,0.00119322
12,116.492,1.57622,1.21601,1.44972,0.67856,0.45823,0.49105,0.22759,2.25282,1.9277,2.35097,0.00116964,0.00116964,0.00116964
13,125.485,1.56197,1.17205,1.46316,0.77905,0.49532,0.62327,0.3247,2.03768,1.61902,2.08981,0.00114606,0.00114606,0.00114606
14,134.732,1.57801,1.18422,1.49304,0.60121,0.63873,0.68901,0.33433,2.09326,1.37704,2.19623,0.00112248,0.00112248,0.00112248
15,143.264,1.59108,1.17025,1.48683,0.82927,0.36289,0.55994,0.28583,2.13129,1.59029,2.21659,0.0010989,0.0010989,0.0010989
16,152.122,1.53494,1.13492,1.46398,0.74252,0.63865,0.75295,0.38346,1.92738,1.28759,1.98029,0.00107532,0.00107532,0.00107532
17,161.267,1.53363,1.10604,1.45861,0.8861,0.43571,0.67765,0.32626,2.15996,1.37752,2.17797,0.00105174,0.00105174,0.00105174
18,170.15,1.47605,1.12236,1.4306,0.66298,0.56675,0.64948,0.3278,2.08509,1.42067,2.12107,0.00102817,0.00102817,0.00102817
19,178.851,1.48441,1.05678,1.37924,0.57207,0.84456,0.71825,0.35246,2.01247,1.33817,2.05387,0.00100459,0.00100459,0.00100459
20,187.979,1.46649,1.03635,1.39011,0.65093,0.62838,0.71056,0.38156,1.87968,1.57284,1.98182,0.000981008,0.000981008,0.000981008
21,197.086,1.4338,0.9888,1.37178,0.64052,0.7252,0.68883,0.29781,2.03416,1.53533,2.03298,0.00095743,0.00095743,0.00095743
22,205.646,1.39311,1.00018,1.37514,0.62198,0.68805,0.69128,0.35385,2.0472,1.43639,2.1475,0.000933851,0.000933851,0.000933851
23,214.754,1.35744,0.93749,1.32896,0.7746,0.59317,0.6818,0.32594,2.08085,1.75501,2.08123,0.000910273,0.000910273,0.000910273
24,223.581,1.3783,0.95325,1.35868,0.62959,0.67473,0.68519,0.34442,2.15197,1.42684,2.16026,0.000886694,0.000886694,0.000886694
25,232.129,1.37403,0.93392,1.34101,0.57723,0.61786,0.67693,0.35607,2.04933,1.36867,2.08922,0.000863116,0.000863116,0.000863116
26,241.151,1.40508,0.94987,1.34963,0.64836,0.75302,0.75641,0.37016,2.02837,1.35562,2.01841,0.000839537,0.000839537,0.000839537
27,250.204,1.37789,0.88248,1.33374,0.61316,0.73403,0.68226,0.3407,1.99187,1.60077,2.04292,0.000815959,0.000815959,0.000815959
28,258.58,1.30372,0.90626,1.30282,0.65384,0.73241,0.74371,0.36157,1.97102,1.33953,1.99951,0.00079238,0.00079238,0.00079238
29,267.797,1.28486,0.88336,1.27535,0.65866,0.72979,0.74533,0.36448,2.00021,1.36944,2.0479,0.000768802,0.000768802,0.000768802
30,276.998,1.27491,0.88282,1.29507,0.6624,0.71609,0.74282,0.3717,1.88114,1.49014,1.92986,0.000745223,0.000745223,0.000745223
31,285.288,1.27866,0.83462,1.2656,0.64724,0.71048,0.71405,0.36165,1.8395,1.59493,1.89165,0.000721645,0.000721645,0.000721645
32,294.13,1.30356,0.84553,1.27409,0.62078,0.58918,0.68619,0.38247,1.80937,1.67737,1.87545,0.000698066,0.000698066,0.000698066
