epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1659,1.88693,4.58666,1.88377,0.87441,0.28947,0.41665,0.18986,1.46864,4.33114,1.73479,0.00028339,0.00028339,0.00028339
2,24.9645,1.50483,2.22743,1.57993,0.26615,0.20772,0.2289,0.10949,2.61323,4.12393,2.79393,0.000577674,0.000577674,0.000577674
3,33.5646,1.47188,1.79314,1.5819,0.23079,0.35126,0.23435,0.09889,2.51603,4.26671,3.31991,0.000866017,0.000866017,0.000866017
4,41.3495,1.5457,1.68767,1.60195,0.0552,0.06405,0.01706,0.00422,2.79543,4.08401,3.04869,0.00114842,0.00114842,0.00114842
5,49.9162,1.55273,1.60176,1.6672,0.21751,0.0664,0.06174,0.0195,2.71847,3.51429,3.16183,0.00142488,0.00142488,0.00142488
6,57.2737,1.56031,1.55114,1.65579,0.01044,0.02105,0.00212,0.00042,3.97146,10.6695,4.9398,0.00158448,0.00158448,0.00158448
7,65.5038,1.52758,1.53994,1.62856,0.036,0.01377,0.00243,0.00043,5.26843,8.41245,5.65772,0.00156798,0.00156798,0.00156798
8,74.1482,1.49499,1.46913,1.58839,0.22214,0.23739,0.18296,0.09489,2.32633,3.73375,2.59992,0.00155148,0.00155148,0.00155148
9,81.5724,1.54985,1.47279,1.62282,0.17168,0.22731,0.12021,0.05074,2.70438,3.27769,2.77418,0.00153497,0.00153497,0.00153497
10,90.0075,1.4793,1.41381,1.54246,0.72481,0.28421,0.31797,0.15506,1.85767,2.68336,2.07727,0.00151847,0.00151847,0.00151847
11,97.5411,1.41582,1.32342,1.49236,0.40408,0.58251,0.46147,0.2412,1.78958,1.79161,1.89792,0.00150197,0.00150197,0.00150197
12,106.22,1.44217,1.35182,1.51793,0.40417,0.39809,0.40802,0.20891,1.74924,2.75003,2.04009,0.00148546,0.00148546,0.00148546
13,114.785,1.37841,1.30235,1.47916,0.55053,0.36931,0.42861,0.23193,1.73681,4.17215,2.02733,0.00146896,0.00146896,0.00146896
14,122.099,1.34873,1.23021,1.49408,0.39586,0.57345,0.54512,0.29192,1.54162,2.14901,1.7071,0.00145246,0.00145246,0.00145246
15,130.824,1.3654,1.2582,1.45773,0.45209,0.46905,0.45331,0.22433,1.70429,2.2712,1.84111,0.00143595,0.00143595,0.00143595
16,139.166,1.36167,1.19583,1.45547,0.57063,0.60067,0.5606,0.32453,1.6408,1.98338,1.76012,0.00141945,0.00141945,0.00141945
17,147.293,1.33594,1.18237,1.45184,0.59502,0.46766,0.5613,0.2897,1.7432,1.89676,1.89645,0.00140295,0.00140295,0.00140295
18,155.976,1.35818,1.15742,1.45326,0.51927,0.50402,0.52404,0.28788,1.72581,2.1287,1.86937,0.00138644,0.00138644,0.00138644
19,163.274,1.249,1.11529,1.39545,0.60697,0.63188,0.58979,0.33633,1.46706,1.93603,1.70131,0.00136994,0.00136994,0.00136994
20,172.123,1.26314,1.09986,1.38525,0.57973,0.7206,0.58104,0.32379,1.48024,1.80606,1.80036,0.00135344,0.00135344,0.00135344
21,180.677,1.23956,1.09638,1.40062,0.45407,0.77249,0.55565,0.31448,1.50377,1.6243,1.73632,0.00133693,0.00133693,0.00133693
22,188.369,1.28413,1.1036,1.41536,0.64606,0.55264,0.57475,0.31567,1.76316,1.64198,1.92471,0.00132043,0.00132043,0.00132043
23,196.81,1.26239,1.06235,1.3641,0.56647,0.53267,0.51524,0.29754,1.68853,1.60884,1.79136,0.00130393,0.00130393,0.00130393
24,204.684,1.22337,1.07015,1.36868,0.57371,0.6069,0.61177,0.337,1.58948,1.64228,1.82192,0.00128742,0.00128742,0.00128742
25,213.052,1.18735,0.948,1.32444,0.47225,0.60455,0.55796,0.31022,1.60764,1.69926,1.76675,0.00127092,0.00127092,0.00127092
26,221.623,1.20775,1.0043,1.37037,0.48778,0.63602,0.59393,0.34673,1.52143,1.51969,1.75068,0.00125442,0.00125442,0.00125442
27,229.229,1.20217,0.93677,1.3441,0.69933,0.53626,0.60161,0.33741,1.75125,1.70853,1.89768,0.00123791,0.00123791,0.00123791
28,237.725,1.16091,0.96598,1.34776,0.56659,0.53002,0.54863,0.28273,2.00839,1.77314,2.05695,0.00122141,0.00122141,0.00122141
29,245.821,1.17995,0.9808,1.32246,0.68118,0.55369,0.61543,0.3172,1.77813,1.58408,1.87067,0.00120491,0.00120491,0.00120491
30,253.715,1.20113,0.99855,1.33623,0.66512,0.49806,0.5629,0.32046,1.66247,1.73444,1.7668,0.0011884,0.0011884,0.0011884
31,262.355,1.14678,0.93168,1.31798,0.64129,0.57143,0.63173,0.3222,1.63058,1.53174,1.75339,0.0011719,0.0011719,0.0011719
32,269.653,1.13986,0.94833,1.30687,0.66416,0.65157,0.63466,0.36573,1.46488,1.54653,1.65401,0.0011554,0.0011554,0.0011554
33,278.144,1.07947,0.84983,1.25573,0.64636,0.64458,0.63677,0.36699,1.5698,1.47243,1.7674,0.00113889,0.00113889,0.00113889
34,286.719,1.08234,0.87271,1.24483,0.58072,0.692,0.61675,0.35493,1.42966,1.52076,1.57341,0.00112239,0.00112239,0.00112239
35,294.118,1.11347,0.87901,1.24909,0.56114,0.77765,0.61724,0.34924,1.39064,1.52907,1.52603,0.00110589,0.00110589,0.00110589
36,302.506,1.0984,0.88011,1.2521,0.66051,0.48221,0.56754,0.33198,1.38424,1.97366,1.55407,0.00108938,0.00108938,0.00108938
37,309.656,1.10962,0.88686,1.28766,0.58934,0.70791,0.60214,0.36739,1.35038,1.64923,1.51289,0.00107288,0.00107288,0.00107288
38,317.833,1.05498,0.84815,1.22165,0.5742,0.75089,0.61717,0.36516,1.52064,1.43388,1.62158,0.00105638,0.00105638,0.00105638
39,327.797,1.09418,0.85777,1.25424,0.68117,0.63647,0.6385,0.38511,1.49569,1.4818,1.63457,0.00103987,0.00103987,0.00103987
40,335.848,1.02766,0.81013,1.23014,0.5925,0.71394,0.63082,0.35309,1.57664,1.55965,1.65975,0.00102337,0.00102337,0.00102337
41,345.073,1.05417,0.83672,1.24334,0.70576,0.65575,0.66021,0.3829,1.44182,1.52474,1.58829,0.00100687,0.00100687,0.00100687
42,354.837,1.03566,0.80557,1.21071,0.58055,0.7323,0.61998,0.37586,1.43616,1.51682,1.62495,0.000990365,0.000990365,0.000990365
43,362.998,1.01066,0.83333,1.21357,0.52723,0.68753,0.65396,0.3738,1.55547,1.42095,1.67098,0.000973861,0.000973861,0.000973861
44,372.436,1.01299,0.80159,1.20979,0.56458,0.78257,0.65059,0.39522,1.49531,1.41115,1.62629,0.000957358,0.000957358,0.000957358
45,382.047,0.98218,0.75217,1.18764,0.63091,0.65375,0.65831,0.38588,1.66289,1.52835,1.72739,0.000940855,0.000940855,0.000940855
46,390.371,0.97204,0.73535,1.18128,0.65131,0.60321,0.65165,0.39506,1.39279,1.54858,1.5709,0.000924352,0.000924352,0.000924352
47,399.738,0.98293,0.76166,1.20307,0.63207,0.60848,0.62699,0.35622,1.44698,1.61199,1.59304,0.000907848,0.000907848,0.000907848
48,409.238,0.97963,0.73338,1.20668,0.56419,0.66849,0.64051,0.3797,1.40356,1.53365,1.53311,0.000891345,0.000891345,0.000891345
49,417.348,0.97446,0.72669,1.19268,0.66197,0.61227,0.64995,0.39211,1.34777,1.43204,1.53865,0.000874842,0.000874842,0.000874842
50,426.631,0.97194,0.75152,1.20339,0.61772,0.66641,0.66803,0.38458,1.44613,1.5125,1.61058,0.000858338,0.000858338,0.000858338
51,436.027,0.96598,0.7637,1.20543,0.61705,0.65349,0.65007,0.37251,1.59192,1.59537,1.73995,0.000841835,0.000841835,0.000841835
52,444.13,0.96331,0.71859,1.17499,0.639,0.61329,0.65622,0.41251,1.43776,1.67402,1.59248,0.000825332,0.000825332,0.000825332
53,453.517,0.93349,0.75221,1.19782,0.66823,0.64901,0.68497,0.38832,1.55749,1.60317,1.71059,0.000808828,0.000808828,0.000808828
54,463.021,0.91029,0.70662,1.16735,0.6662,0.662,0.65287,0.39778,1.32757,1.65124,1.56771,0.000792325,0.000792325,0.000792325
55,471.071,0.92492,0.74506,1.20417,0.59274,0.69275,0.66964,0.41063,1.38172,1.67774,1.52128,0.000775822,0.000775822,0.000775822
56,480.695,0.9265,0.71166,1.16248,0.60517,0.66242,0.62552,0.37369,1.43972,1.64464,1.58998,0.000759318,0.000759318,0.000759318
57,490.047,0.9143,0.69642,1.14071,0.558,0.66444,0.62196,0.3973,1.43508,1.69166,1.59527,0.000742815,0.000742815,0.000742815
58,498.112,0.90178,0.68595,1.14417,0.55418,0.68876,0.65456,0.40212,1.41865,1.72972,1.53801,0.000726312,0.000726312,0.000726312
59,507.865,0.85967,0.64666,1.11735,0.63623,0.76466,0.6884,0.4238,1.39596,1.44939,1.56684,0.000709809,0.000709809,0.000709809
60,517.682,0.92156,0.69538,1.16272,0.59132,0.74843,0.64778,0.39318,1.40851,1.68472,1.56884,0.000693305,0.000693305,0.000693305
61,525.744,0.90948,0.69797,1.15076,0.6239,0.74631,0.66628,0.41957,1.38386,1.61444,1.5492,0.000676802,0.000676802,0.000676802
62,535.178,0.93241,0.69527,1.16107,0.62364,0.74293,0.68642,0.40731,1.4283,1.44751,1.60127,0.000660299,0.000660299,0.000660299
63,544.542,0.88295,0.72396,1.14478,0.66998,0.74327,0.69679,0.42123,1.45462,1.46508,1.62494,0.000643795,0.000643795,0.000643795
64,552.668,0.85437,0.66031,1.13688,0.62357,0.77502,0.68507,0.42737,1.42465,1.53871,1.59267,0.000627292,0.000627292,0.000627292
65,562.531,0.88329,0.66588,1.1605,0.62495,0.71921,0.66394,0.40683,1.3789,1.47043,1.55454,0.000610789,0.000610789,0.000610789
66,572.013,0.85416,0.64155,1.13372,0.5984,0.70637,0.6418,0.40851,1.37611,1.56923,1.57873,0.000594286,0.000594286,0.000594286
67,580.099,0.84998,0.63123,1.09566,0.62873,0.66952,0.64959,0.40432,1.40202,1.63245,1.58808,0.000577782,0.000577782,0.000577782
68,589.565,0.84343,0.63468,1.12587,0.61944,0.7257,0.67275,0.42135,1.40777,1.62723,1.58278,0.000561279,0.000561279,0.000561279
69,599.028,0.84728,0.63041,1.10591,0.61511,0.65751,0.67808,0.43013,1.33314,1.69635,1.53895,0.000544776,0.000544776,0.000544776
70,607.185,0.79746,0.59973,1.09835,0.63771,0.72998,0.68893,0.42066,1.37128,1.70083,1.58994,0.000528272,0.000528272,0.000528272
71,616.873,0.84758,0.66692,1.13556,0.66683,0.78694,0.69716,0.41538,1.47278,1.62074,1.64352,0.000511769,0.000511769,0.000511769
72,626.36,0.83598,0.63391,1.12133,0.65645,0.78493,0.68973,0.40986,1.49166,1.54878,1.65143,0.000495266,0.000495266,0.000495266
73,634.572,0.80122,0.6129,1.09804,0.63397,0.73146,0.66574,0.41918,1.41044,1.63113,1.61934,0.000478762,0.000478762,0.000478762
74,644.018,0.78964,0.60009,1.09777,0.63759,0.76029,0.68902,0.42281,1.3983,1.57336,1.61052,0.000462259,0.000462259,0.000462259
75,653.623,0.80847,0.59174,1.11785,0.64411,0.73712,0.69703,0.44991,1.31066,1.52754,1.51819,0.000445756,0.000445756,0.000445756
76,661.905,0.82664,0.59868,1.10895,0.67135,0.7287,0.68568,0.43615,1.34434,1.58541,1.56484,0.000429253,0.000429253,0.000429253
77,671.433,0.79795,0.62576,1.11339,0.64114,0.67763,0.66697,0.41322,1.3941,1.66639,1.57322,0.000412749,0.000412749,0.000412749
78,681.149,0.7954,0.59598,1.11324,0.64204,0.73995,0.66394,0.42104,1.37781,1.66774,1.57799,0.000396246,0.000396246,0.000396246
79,689.438,0.78617,0.57982,1.09248,0.66556,0.74039,0.67903,0.42596,1.36933,1.59741,1.53582,0.000379743,0.000379743,0.000379743
80,698.778,0.7687,0.57104,1.0962,0.63013,0.65938,0.66255,0.42035,1.33961,1.72078,1.51494,0.000363239,0.000363239,0.000363239
81,708.331,0.77686,0.59402,1.08675,0.63682,0.64542,0.67387,0.4354,1.31414,1.69466,1.48804,0.000346736,0.000346736,0.000346736
82,716.489,0.75167,0.56455,1.07171,0.61683,0.7243,0.68504,0.43003,1.39088,1.52674,1.56139,0.000330233,0.000330233,0.000330233
83,725.903,0.76251,0.56179,1.08576,0.64575,0.77686,0.68526,0.42363,1.42734,1.53422,1.61157,0.000313729,0.000313729,0.000313729
84,735.249,0.73513,0.53336,1.07912,0.66405,0.71068,0.68599,0.43636,1.37135,1.66845,1.56922,0.000297226,0.000297226,0.000297226
85,743.503,0.73089,0.53889,1.07603,0.64536,0.66322,0.67887,0.43504,1.35533,1.72325,1.5585,0.000280723,0.000280723,0.000280723
86,752.87,0.73495,0.56727,1.06396,0.66211,0.69806,0.6868,0.42858,1.42586,1.67884,1.60297,0.00026422,0.00026422,0.00026422
87,762.007,0.71057,0.52393,1.04176,0.67635,0.72614,0.69539,0.43944,1.42823,1.63054,1.63967,0.000247716,0.000247716,0.000247716
88,770.228,0.6972,0.51932,1.05004,0.67636,0.72731,0.69192,0.42928,1.47401,1.64744,1.68272,0.000231213,0.000231213,0.000231213
89,779.288,0.72247,0.53411,1.06544,0.64897,0.68928,0.68612,0.43363,1.44568,1.70228,1.65794,0.00021471,0.00021471,0.00021471
90,786.538,0.69731,0.52318,1.0612,0.64571,0.67164,0.67791,0.43354,1.40747,1.67222,1.62981,0.000198206,0.000198206,0.000198206
91,796.832,0.67868,0.47138,1.02062,0.64543,0.70174,0.68471,0.4282,1.4279,1.62776,1.6405,0.000181703,0.000181703,0.000181703
92,805.571,0.63673,0.44773,1.00771,0.65962,0.72685,0.68682,0.43073,1.42558,1.58406,1.61885,0.0001652,0.0001652,0.0001652
93,813.011,0.62407,0.42472,1.00272,0.65886,0.74697,0.69383,0.43997,1.38475,1.56677,1.60516,0.000148696,0.000148696,0.000148696
94,821.267,0.61262,0.42949,0.99678,0.66836,0.75967,0.69599,0.43378,1.40514,1.57935,1.63162,0.000132193,0.000132193,0.000132193
95,829.599,0.59797,0.42184,0.98411,0.66696,0.74151,0.68961,0.43458,1.37582,1.6052,1.60524,0.00011569,0.00011569,0.00011569
96,836.867,0.59972,0.39514,0.98437,0.6512,0.69337,0.67151,0.42522,1.33117,1.66121,1.5695,9.91865e-05,9.91865e-05,9.91865e-05
97,845.161,0.57141,0.38863,0.95986,0.66005,0.69245,0.68012,0.42506,1.34259,1.6554,1.57046,8.26832e-05,8.26832e-05,8.26832e-05
