epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72859,1.82087,3.30544,1.90668,0.0054,1,0.25343,0.11498,2.18814,3.48051,2.57508,2.858e-05,2.858e-05,2.858e-05
2,2.87859,1.94032,3.19862,1.89587,0.00605,1,0.2644,0.11626,1.90966,3.5305,2.4131,7.07426e-05,7.07426e-05,7.07426e-05
3,3.88885,1.74416,3.16196,1.74275,0.00611,1,0.32279,0.12246,1.71649,3.508,2.22447,0.000112056,0.000112056,0.000112056
4,4.90671,1.70092,3.20365,1.65599,0.00532,1,0.13866,0.04365,1.68271,3.38666,1.97655,0.000152521,0.000152521,0.000152521
5,5.94859,1.47288,2.93803,1.53914,0.0055,1,0.159,0.07048,1.66984,3.30404,1.76003,0.000192138,0.000192138,0.000192138
6,7.19807,1.52916,3.10197,1.55261,0.00539,1,0.3365,0.22538,1.38982,3.14731,1.43882,0.000230905,0.000230905,0.000230905
7,8.31852,1.53627,2.99528,1.4786,0.00554,1,0.31689,0.21304,1.27886,3.18922,1.43249,0.000268823,0.000268823,0.000268823
8,9.36347,1.34409,2.84388,1.37332,0.00533,1,0.31902,0.21878,1.17116,3.19267,1.40611,0.000305893,0.000305893,0.000305893
9,10.4778,1.43728,2.86788,1.41576,0.00521,1,0.35264,0.1807,1.06149,3.19503,1.39504,0.000342114,0.000342114,0.000342114
10,11.5717,1.47976,2.94546,1.46957,0.00518,1,0.51306,0.27296,1.07479,3.13435,1.38366,0.000377486,0.000377486,0.000377486
11,12.6084,1.25122,2.81773,1.36553,0.00496,1,0.48266,0.25363,1.24866,3.11819,1.44948,0.000412009,0.000412009,0.000412009
12,13.6587,1.34785,2.92419,1.45265,0.00461,1,0.47205,0.22344,1.37454,3.09368,1.4887,0.000445684,0.000445684,0.000445684
13,14.6341,1.22478,2.64809,1.2967,0.00446,1,0.44569,0.21533,1.44889,3.06405,1.56733,0.000478509,0.000478509,0.000478509
