epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4103,2.95424,18.9243,1.97965,0.00011,0.03226,6e-05,3e-05,3.03116,17.9983,1.76388,0.0002,0.0002,0.0002
2,18.9348,2.39592,8.14486,1.77592,0.00032,0.09677,0.00023,8e-05,3.15187,50.7671,1.79275,0.000415842,0.000415842,0.000415842
3,23.5693,1.93381,3.34257,1.37964,0,0,0,0,3.09396,421.163,1.76103,0.000627328,0.000627328,0.000627328
4,28.1912,1.87997,2.32188,1.36183,0.00065,0.19355,0.00049,0.00019,2.85102,inf,1.66102,0.000834458,0.000834458,0.000834458
5,33.4472,1.92289,2.02459,1.39122,0.00395,0.35484,0.00515,0.0017,3.18358,3.48443,2.0339,0.00103723,0.00103723,0.00103723
6,37.91,1.95224,1.68156,1.40934,0.00227,0.09677,0.00152,0.00048,4.15283,4.20149,3.27512,0.00123565,0.00123565,0.00123565
7,42.9507,1.88069,1.55409,1.35983,0,0,0,0,5.41481,4.7655,6.88553,0.00142971,0.00142971,0.00142971
8,47.5387,1.9003,1.4913,1.36079,0.00108,0.32258,0.0012,0.00024,4.02258,92.1168,2.82168,0.00161942,0.00161942,0.00161942
9,51.8593,1.95576,1.61524,1.45369,0.00028,0.03226,0.00012,6e-05,4.66052,1087.49,4.51242,0.00180477,0.00180477,0.00180477
10,57.4116,1.79586,1.49738,1.32964,0,0,0,0,5.47358,inf,9.51515,0.0018218,0.0018218,0.0018218
11,61.7027,1.79402,1.45738,1.30927,0.00137,0.19355,0.00059,0.00014,4.48704,inf,10.4004,0.001802,0.001802,0.001802
12,65.9302,1.76153,1.32166,1.28761,0.32196,0.22581,0.16332,0.05556,3.71179,3.39925,2.08324,0.0017822,0.0017822,0.0017822
13,71.6187,1.76973,1.35601,1.29231,0.06397,0.19355,0.03025,0.00853,2.99812,4.97843,1.66891,0.0017624,0.0017624,0.0017624
14,75.9238,1.75051,1.44002,1.30826,0.10786,0.3871,0.08026,0.02438,2.66773,3.24904,1.57402,0.0017426,0.0017426,0.0017426
15,80.1988,1.8134,1.32431,1.30084,0.30827,0.12903,0.11751,0.0395,3.06712,8.779,1.77527,0.0017228,0.0017228,0.0017228
16,85.4263,1.63881,1.30717,1.25868,0.00474,0.41935,0.00294,0.00106,2.81265,183.55,1.91845,0.001703,0.001703,0.001703
17,89.6793,1.74352,1.1714,1.2242,0.2229,0.16129,0.09402,0.02561,2.65235,10.5686,1.56932,0.0016832,0.0016832,0.0016832
18,93.9136,1.7108,1.21999,1.25346,0.3713,0.22581,0.1821,0.058,2.91636,2.53929,1.61312,0.0016634,0.0016634,0.0016634
19,99.1465,1.54352,1.05143,1.22341,0.51672,0.45161,0.37606,0.12687,2.44858,2.13672,1.46474,0.0016436,0.0016436,0.0016436
20,103.414,1.61219,1.02322,1.19786,0.17042,0.29032,0.16912,0.05898,3.22886,2.15409,1.90351,0.0016238,0.0016238,0.0016238
21,108.01,1.54992,0.99885,1.17507,0.46735,0.48124,0.36411,0.12076,2.61782,1.87181,1.61961,0.001604,0.001604,0.001604
22,112.924,1.58239,0.99461,1.17396,0.4074,0.45161,0.31982,0.11012,2.68267,1.80151,1.73069,0.0015842,0.0015842,0.0015842
23,117.188,1.58052,0.95977,1.22247,0.43053,0.43922,0.30985,0.08673,2.98579,1.78054,1.84653,0.0015644,0.0015644,0.0015644
24,121.79,1.54886,1.05892,1.19947,0.24472,0.3871,0.21002,0.05046,2.75581,5.65571,1.63685,0.0015446,0.0015446,0.0015446
25,126.497,1.61747,1.04801,1.24039,0.5303,0.3871,0.33572,0.09693,2.5855,2.22944,1.55846,0.0015248,0.0015248,0.0015248
26,130.973,1.52569,0.93669,1.15112,0.59532,0.35484,0.33499,0.11503,2.7022,1.87176,1.60865,0.001505,0.001505,0.001505
27,135.956,1.47376,0.94456,1.17588,0.37186,0.45161,0.27895,0.11048,2.67472,2.10121,1.55677,0.0014852,0.0014852,0.0014852
28,140.623,1.46864,0.94125,1.17659,0.20107,0.22581,0.12218,0.03949,3.05484,2.91386,1.72075,0.0014654,0.0014654,0.0014654
29,144.872,1.48927,0.85554,1.1581,0.48748,0.22581,0.26217,0.08144,2.68569,2.37316,1.56165,0.0014456,0.0014456,0.0014456
30,150.136,1.52434,0.97252,1.1658,0.52247,0.29032,0.26954,0.08308,2.76102,2.49337,1.62691,0.0014258,0.0014258,0.0014258
31,154.391,1.47093,0.89358,1.12917,0.57099,0.16129,0.21375,0.08854,2.71271,2.46208,1.58968,0.001406,0.001406,0.001406
32,158.704,1.45359,0.83849,1.18574,0.52146,0.3871,0.35592,0.12184,2.66878,2.10755,1.53309,0.0013862,0.0013862,0.0013862
33,164.028,1.44445,0.85307,1.18234,0.80985,0.3871,0.5358,0.17552,2.51098,1.61285,1.48221,0.0013664,0.0013664,0.0013664
34,168.404,1.40705,0.86401,1.11615,0.21329,0.45161,0.24218,0.08509,2.69511,2.48841,1.58298,0.0013466,0.0013466,0.0013466
35,172.676,1.38802,0.87171,1.1451,0.56306,0.22581,0.28651,0.10568,2.70687,3.17156,1.56952,0.0013268,0.0013268,0.0013268
36,177.912,1.38212,0.79555,1.10973,0.85215,0.32258,0.42764,0.14834,2.69288,2.05835,1.6081,0.001307,0.001307,0.001307
37,182.152,1.36473,0.80525,1.12202,0.69273,0.43675,0.49195,0.17817,2.58213,1.69603,1.56088,0.0012872,0.0012872,0.0012872
38,186.57,1.40372,0.77816,1.10206,0.5307,0.51613,0.45315,0.18738,2.54343,1.61365,1.53918,0.0012674,0.0012674,0.0012674
39,191.825,1.31084,0.76513,1.07978,0.52898,0.43504,0.37282,0.14561,2.34212,1.81998,1.49112,0.0012476,0.0012476,0.0012476
