epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.646,1.42066,2.53297,1.66781,0.54,0.18106,0.116,0.05087,2.55165,4.81717,3.53547,0.000553653,0.000553653,0.000553653
2,207.411,1.62751,2.267,1.86498,0.12403,0.20271,0.04204,0.01174,2.70405,5.23616,3.34558,0.00109102,0.00109102,0.00109102
3,305.237,1.61097,2.2593,1.85745,0.44632,0.23256,0.24245,0.13724,1.88107,3.08195,2.24047,0.00161004,0.00161004,0.00161004
4,403.256,1.52326,2.12343,1.78609,0.42903,0.30741,0.31549,0.18445,1.80909,2.36136,2.15518,0.00158448,0.00158448,0.00158448
5,501.035,1.46181,2.00307,1.73842,0.47418,0.42126,0.41839,0.25302,1.77695,2.42981,2.21588,0.00155698,0.00155698,0.00155698
6,598.107,1.42272,1.90009,1.69065,0.63543,0.47039,0.54598,0.33336,1.55389,1.7369,1.87644,0.00152947,0.00152947,0.00152947
7,694.333,1.35392,1.80989,1.64826,0.5265,0.47701,0.50768,0.31476,1.60069,1.84189,1.96195,0.00150197,0.00150197,0.00150197
8,790.343,1.31729,1.7254,1.61195,0.6838,0.48958,0.57589,0.3543,1.47148,1.64188,1.79801,0.00147446,0.00147446,0.00147446
9,887.067,1.29166,1.66826,1.57904,0.71721,0.51637,0.61953,0.38957,1.39541,1.48007,1.77029,0.00144696,0.00144696,0.00144696
10,984.138,1.26489,1.60837,1.56517,0.75126,0.56755,0.66521,0.42749,1.35276,1.40959,1.71977,0.00141945,0.00141945,0.00141945
11,1081.8,1.22361,1.56352,1.53628,0.67206,0.55625,0.62339,0.40333,1.38107,1.48104,1.72621,0.00139195,0.00139195,0.00139195
12,1178.74,1.23144,1.54952,1.52498,0.75679,0.56715,0.66241,0.44534,1.28774,1.33478,1.62435,0.00136444,0.00136444,0.00136444
13,1275.66,1.20042,1.48242,1.50987,0.76677,0.61904,0.70984,0.47924,1.2391,1.28931,1.6015,0.00133693,0.00133693,0.00133693
14,1372.12,1.16395,1.42948,1.48243,0.80887,0.62448,0.74001,0.49706,1.23499,1.21424,1.58771,0.00130943,0.00130943,0.00130943
15,1468.69,1.16095,1.41612,1.48281,0.77255,0.601,0.70833,0.4625,1.2924,1.30195,1.62448,0.00128192,0.00128192,0.00128192
16,1565.1,1.16125,1.414,1.47338,0.79674,0.63664,0.73411,0.48855,1.23661,1.25043,1.59317,0.00125442,0.00125442,0.00125442
17,1661.76,1.13281,1.35279,1.45831,0.77325,0.6317,0.73971,0.49995,1.21319,1.23699,1.57116,0.00122691,0.00122691,0.00122691
18,1758.76,1.13017,1.339,1.44787,0.79704,0.6841,0.77484,0.52088,1.21055,1.1215,1.56353,0.00119941,0.00119941,0.00119941
19,1855.24,1.11475,1.31974,1.43419,0.79141,0.67291,0.77605,0.53216,1.14716,1.09236,1.49702,0.0011719,0.0011719,0.0011719
20,1951.87,1.09958,1.28056,1.42476,0.83991,0.69251,0.79771,0.54248,1.17191,1.05783,1.50409,0.0011444,0.0011444,0.0011444
21,2047.05,1.08585,1.24315,1.41357,0.79171,0.69692,0.77673,0.52683,1.1722,1.0956,1.50717,0.00111689,0.00111689,0.00111689
22,2143.42,1.0815,1.24121,1.41174,0.80204,0.68258,0.79053,0.5344,1.17954,1.08003,1.50486,0.00108938,0.00108938,0.00108938
23,2239.16,1.07718,1.22337,1.40157,0.81782,0.72328,0.82181,0.56705,1.13356,0.98894,1.48339,0.00106188,0.00106188,0.00106188
24,2335.26,1.07164,1.21973,1.39221,0.83661,0.67248,0.79902,0.55331,1.13629,1.01962,1.46158,0.00103437,0.00103437,0.00103437
25,2430.18,1.05831,1.20122,1.38538,0.82393,0.71401,0.81038,0.56927,1.12083,0.98659,1.46136,0.00100687,0.00100687,0.00100687
26,2526.58,1.04481,1.17742,1.38453,0.84509,0.71364,0.82853,0.57538,1.12618,0.97595,1.46281,0.000979362,0.000979362,0.000979362
27,2624.59,1.03946,1.15685,1.37722,0.8523,0.70192,0.82262,0.57414,1.11074,0.97485,1.44371,0.000951857,0.000951857,0.000951857
28,2721.19,1.02966,1.14411,1.36822,0.82918,0.74065,0.83678,0.5833,1.10178,0.93323,1.43554,0.000924352,0.000924352,0.000924352
29,2817.56,1.01923,1.11974,1.35399,0.83109,0.73064,0.83338,0.58464,1.09434,0.93073,1.42215,0.000896846,0.000896846,0.000896846
30,2912.96,1.01894,1.11978,1.35545,0.83101,0.74213,0.83976,0.58672,1.07514,0.93524,1.41582,0.00086934,0.00086934,0.00086934
31,3008.49,1.00699,1.07377,1.34183,0.81621,0.77014,0.84581,0.59945,1.07723,0.90179,1.41456,0.000841835,0.000841835,0.000841835
32,3104.4,1.00337,1.07182,1.3418,0.85878,0.74587,0.85192,0.60721,1.06305,0.88579,1.40235,0.000814329,0.000814329,0.000814329
33,3199.39,0.99764,1.0658,1.3447,0.85236,0.76772,0.86344,0.60508,1.05554,0.8651,1.39188,0.000786824,0.000786824,0.000786824
34,3296.35,0.9918,1.04117,1.33077,0.8668,0.74564,0.86491,0.61974,1.02001,0.84436,1.3585,0.000759318,0.000759318,0.000759318
35,3394.98,0.98018,1.02721,1.32168,0.86838,0.76587,0.86517,0.61929,1.0534,0.8364,1.39833,0.000731813,0.000731813,0.000731813
36,3493.32,0.97973,1.02614,1.32777,0.86166,0.77392,0.86535,0.62481,1.04607,0.82966,1.3838,0.000704307,0.000704307,0.000704307
37,3592.57,0.96977,1.00527,1.31185,0.88596,0.74977,0.87584,0.62801,1.04098,0.81858,1.37356,0.000676802,0.000676802,0.000676802
38,3692.49,0.96278,1.00821,1.3134,0.84939,0.78553,0.8798,0.62919,1.02205,0.80755,1.36753,0.000649297,0.000649297,0.000649297
39,3790.94,0.95305,0.97132,1.30652,0.83857,0.81589,0.87607,0.63783,1.02556,0.80716,1.36453,0.000621791,0.000621791,0.000621791
