epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7219,1.30707,3.00094,1.53857,0.71572,0.26774,0.21341,0.10702,1.64292,6.24456,2.18299,0.00043342,0.00043342,0.00043342
2,37.7458,1.29863,1.56928,1.52037,0.69183,0.25502,0.2738,0.12606,1.84782,6.70993,2.49242,0.000868932,0.000868932,0.000868932
3,51.9302,1.36256,1.46307,1.54645,0.65976,0.27742,0.19538,0.08292,2.17373,14.6926,4.06506,0.00128959,0.00128959,0.00128959
4,65.8314,1.44877,1.47717,1.62749,0.58523,0.12903,0.08353,0.04219,2.489,15.8493,3.79923,0.00158448,0.00158448,0.00158448
5,79.35,1.46217,1.49477,1.60637,0.71537,0.23548,0.20731,0.08937,2.01808,7.26032,2.96762,0.00155698,0.00155698,0.00155698
6,92.9947,1.36773,1.32548,1.57832,0.71562,0.19677,0.16719,0.08535,1.94915,5.9448,2.48156,0.00152947,0.00152947,0.00152947
7,107.607,1.41813,1.35963,1.5587,0.59969,0.16129,0.08355,0.03601,2.25397,6.36506,2.78321,0.00150197,0.00150197,0.00150197
8,122.012,1.31877,1.32281,1.53118,0.74264,0.24839,0.24168,0.12111,1.92533,2.84256,2.25964,0.00147446,0.00147446,0.00147446
9,136.52,1.29978,1.24638,1.50424,0.81088,0.34999,0.34459,0.18312,1.78054,2.49288,2.11358,0.00144696,0.00144696,0.00144696
10,151.409,1.29225,1.25109,1.49402,0.81512,0.22542,0.25969,0.13194,1.72407,2.86362,2.01677,0.00141945,0.00141945,0.00141945
11,165.113,1.2369,1.20549,1.44692,0.78717,0.27419,0.27592,0.14368,1.90322,2.58366,2.24493,0.00139195,0.00139195,0.00139195
12,178.999,1.20554,1.12174,1.43868,0.78755,0.29032,0.29105,0.14157,1.77089,2.70325,2.22821,0.00136444,0.00136444,0.00136444
13,192.943,1.20413,1.12037,1.42709,0.8356,0.30292,0.32721,0.18988,1.55415,2.2746,1.88075,0.00133693,0.00133693,0.00133693
14,205.947,1.21163,1.16702,1.44089,0.81667,0.35484,0.37812,0.23509,1.38691,1.84388,1.78661,0.00130943,0.00130943,0.00130943
15,220.473,1.19944,1.11496,1.43368,0.82509,0.35806,0.36377,0.20912,1.30415,1.46378,1.69032,0.00128192,0.00128192,0.00128192
16,234.714,1.14863,1.07362,1.39532,0.86092,0.36452,0.37228,0.2338,1.34689,1.43494,1.78499,0.00125442,0.00125442,0.00125442
17,248.895,1.12717,1.02789,1.36498,0.87389,0.36774,0.39924,0.25393,1.28063,1.64033,1.69347,0.00122691,0.00122691,0.00122691
18,263.131,1.04936,1.00548,1.33976,0.86807,0.35098,0.39697,0.2635,1.20084,1.44486,1.58199,0.00119941,0.00119941,0.00119941
19,277.592,1.12787,1.0364,1.37255,0.84835,0.35568,0.41356,0.24791,1.31998,1.80378,1.66591,0.0011719,0.0011719,0.0011719
20,292.012,1.05746,1.01282,1.32265,0.93527,0.35484,0.41779,0.28641,1.08232,1.12229,1.48346,0.0011444,0.0011444,0.0011444
21,305.83,1.03008,0.94406,1.32256,0.88152,0.40511,0.43912,0.29606,1.14885,1.1666,1.49637,0.00111689,0.00111689,0.00111689
22,320.181,1.04574,0.91639,1.32239,0.84612,0.37006,0.38725,0.24767,1.21065,1.36201,1.60148,0.00108938,0.00108938,0.00108938
23,333.815,1.01213,0.90899,1.2739,0.90592,0.36189,0.4179,0.27569,1.19462,1.08659,1.54976,0.00106188,0.00106188,0.00106188
24,348.094,1.02741,0.89798,1.30045,0.93152,0.39677,0.44976,0.2865,1.18281,1.11049,1.5257,0.00103437,0.00103437,0.00103437
25,361.439,0.99917,0.87982,1.27346,0.87758,0.33226,0.41438,0.27284,1.17498,1.18881,1.57154,0.00100687,0.00100687,0.00100687
