epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7486,1.66421,6.43525,0.56499,1.75558,1.59208,0.51138,0.73636,0.56459,0.25894,0.15558,0.30909,0.07466,0.01624,1.76606,6.69709,0.57363,1.31183,1.76468,0.000654762,0.000654762,0.000654762
2,47.6801,1.72807,7.26861,0.55695,1.64258,1.63385,0.49698,0.47605,0.47805,0.1848,0.16508,0.13636,0.0668,0.01542,2.25191,7.37258,0.65931,1.90678,2.45443,0.00130835,0.00130835,0.00130835
3,70.2137,1.88167,7.8643,0.57244,1.8337,1.77858,0.27545,0.40909,0.22861,0.07285,0.0096,0.02727,0.00213,0.00049,2.1432,8.44615,0.6036,5.04787,2.48484,0.00194873,0.00194873,0.00194873
4,90.7939,1.86376,7.88948,0.57325,1.85295,1.74622,0.28688,0.46364,0.28442,0.10959,0.08588,0.10909,0.02866,0.00513,2.08634,7.8025,0.55483,3.26355,2.23419,0.0019406,0.0019406,0.0019406
5,112.962,1.87495,7.8479,0.56958,1.80832,1.71526,0.3645,0.4,0.32395,0.12785,0.07237,0.09091,0.01387,0.00255,2.00606,7.84296,0.55599,2.62472,2.03642,0.0019208,0.0019208,0.0019208
6,132.885,1.79637,8.07543,0.57917,1.79097,1.69586,0.3739,0.39091,0.37946,0.16539,0.10089,0.15455,0.03053,0.00495,2.02591,7.72225,0.58919,1.92577,2.06911,0.001901,0.001901,0.001901
7,152.063,1.82138,7.82792,0.57213,1.74001,1.69956,0.48362,0.51087,0.48035,0.21195,0.04007,0.14545,0.01138,0.00179,1.74149,7.85338,0.53437,2.16363,1.80471,0.0018812,0.0018812,0.0018812
8,170.799,1.80005,7.96544,0.56376,1.75048,1.656,0.53371,0.72727,0.61844,0.27799,0.16684,0.12727,0.04312,0.0094,1.82566,7.78275,0.54298,2.27256,1.80288,0.0018614,0.0018614,0.0018614
9,189.505,1.80718,7.90079,0.55907,1.79614,1.66034,0.45298,0.57214,0.50474,0.25031,0.0867,0.15455,0.03071,0.00541,1.75449,7.87041,0.55356,1.67092,1.70086,0.0018416,0.0018416,0.0018416
10,208.65,1.75901,7.97485,0.55703,1.72511,1.6568,0.53547,0.60909,0.5952,0.26971,0.11989,0.17273,0.03838,0.01038,1.8187,7.46166,0.52294,1.85601,1.86009,0.0018218,0.0018218,0.0018218
11,227.404,1.66081,7.70789,0.56499,1.65512,1.58727,0.55518,0.59091,0.60825,0.27167,0.25122,0.15253,0.06846,0.01666,1.7575,7.38341,0.54806,1.85717,1.74324,0.001802,0.001802,0.001802
